年齢,性別,身長,体重
37,男性,174.2,66.760408
45,女性,156.5,53.88295
30,男性,167.8,61.94504800000001
77,女性,154.5,52.51455
40,男性,172.7,65.61563799999999
57,男性,166.6,61.062231999999995
75,男性,168.0,62.0928
77,男性,171.4,64.63151200000001
69,女性,159.2,55.758207999999996
54,女性,154.3,52.378678000000015
19,男性,169.4,63.131992000000004
35,男性,169.9,63.50522200000001
45,男性,173.2,65.99612799999998
72,男性,167.5,61.72375
69,男性,174.9,67.298022
23,女性,155.7,53.33347799999999
33,男性,168.2,62.24072799999999
39,女性,154.7,52.650597999999995
72,女性,157.0,54.2278
58,男性,172.6,65.539672
57,男性,173.9,66.530662
20,男性,167.6,61.797472
39,女性,158.8,55.478368
49,女性,154.7,52.650597999999995
19,男性,168.2,62.24072799999999
69,女性,155.7,53.33347799999999
39,男性,169.8,63.43048800000001
24,男性,171.7,64.857958
22,女性,154.3,52.378678000000015
54,男性,172.9,65.767702
62,男性,168.6,62.537112
29,女性,158.5,55.26895
60,女性,154.9,52.78682200000001
77,女性,155.8,53.40200800000001
22,男性,168.9,62.75986200000001
24,男性,170.5,63.95455
38,男性,174.4,66.913792
74,男性,167.4,61.65007200000001
30,男性,172.3,65.31203800000002
64,男性,174.1,66.683782
71,女性,154.6,52.582552
25,男性,168.4,62.38883200000001
73,女性,156.8,54.089728000000015
71,女性,157.9,54.851302000000004
67,男性,165.2,60.04028799999999
18,女性,157.3,54.43523800000001
63,女性,160.2,56.46088799999999
71,男性,167.7,61.87123799999999
20,男性,174.8,67.22108800000001
74,女性,157.7,54.71243799999999
56,男性,165.1,59.967622
26,男性,171.5,64.70695
76,女性,155.0,52.855
34,女性,158.1,54.99034199999999
55,女性,154.2,52.31080799999999
48,女性,154.0,52.1752
64,女性,155.8,53.40200800000001
60,男性,171.1,64.405462
63,男性,166.6,61.062231999999995
74,女性,156.2,53.676567999999996
53,女性,156.9,54.158742000000004
72,女性,159.6,56.038752
68,男性,165.7,60.40427799999999
75,女性,157.6,54.643072
52,男性,167.8,61.94504800000001
77,女性,154.1,52.242982
72,男性,171.4,64.63151200000001
56,男性,172.2,65.236248
79,女性,160.9,56.95538200000001
23,女性,155.9,53.47058200000001
39,男性,175.0,67.375
