年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
38,男性,173.6,66.9,2023-08-22 11:26:00,7.1,449.0,695.5,1
39,男性,169.2,64.0,2023-08-22 20:06:00,19.6,693.3,467.2,1
32,女性,161.8,58.1,2023-08-22 09:10:00,3.9,669.0,736.6,0
24,男性,169.3,63.7,2023-08-22 01:11:00,12.2,502.2,736.2,1
57,女性,156.0,53.6,2023-08-22 17:14:00,16.7,464.5,713.8,1
37,女性,164.4,59.7,2023-08-22 16:31:00,12.1,794.5,305.1,1
75,女性,159.4,56.7,2023-08-22 10:18:00,18.2,415.4,795.4,1
47,女性,164.2,59.4,2023-08-22 17:50:00,15.2,439.9,677.7,1
80,女性,162.8,59.1,2023-08-22 23:09:00,10.1,342.0,615.0,1
47,女性,157.7,55.6,2023-08-22 23:35:00,11.2,733.7,697.5,1
59,女性,157.5,55.3,2023-08-22 13:11:00,10.9,742.8,796.3,1
33,女性,157.3,55.1,2023-08-22 16:34:00,22.3,351.7,327.8,1
72,男性,174.9,67.8,2023-08-22 09:31:00,13.6,482.9,626.5,1
39,女性,158.7,55.9,2023-08-22 02:15:00,2.8,317.2,664.5,0
79,男性,171.6,65.4,2023-08-22 17:24:00,14.1,719.7,389.7,1
34,男性,172.0,65.5,2023-08-22 05:14:00,13.0,366.5,415.5,1
18,男性,169.4,64.1,2023-08-22 18:07:00,18.1,720.4,308.5,1
35,男性,174.0,66.8,2023-08-22 08:40:00,20.6,368.6,523.6,1
37,男性,170.5,64.7,2023-08-22 01:07:00,13.9,528.3,396.7,1
49,女性,161.0,58.0,2023-08-22 04:04:00,23.0,782.5,768.6,1
22,女性,158.3,55.2,2023-08-22 02:38:00,4.9,303.4,340.6,1
50,男性,167.0,61.7,2023-08-22 22:27:00,9.7,702.5,669.7,1
40,女性,160.4,57.2,2023-08-22 20:02:00,22.1,682.9,567.4,1
60,女性,156.5,53.9,2023-08-22 05:29:00,16.7,658.8,713.7,1
35,男性,168.6,62.9,2023-08-22 11:47:00,13.4,336.5,701.3,1
75,女性,157.1,54.7,2023-08-22 12:38:00,2.4,508.6,362.0,0
31,男性,168.9,63.6,2023-08-22 09:23:00,10.3,414.9,426.1,1
53,女性,164.5,60.4,2023-08-22 04:05:00,6.4,683.5,654.9,0
68,男性,169.1,62.9,2023-08-22 15:17:00,8.1,374.3,764.1,1
49,女性,161.9,57.9,2023-08-22 05:56:00,15.9,391.2,353.2,1
45,女性,158.9,56.2,2023-08-22 20:11:00,16.0,499.8,363.3,1
31,男性,173.0,66.2,2023-08-22 06:20:00,9.8,502.8,690.4,1
64,女性,161.0,57.1,2023-08-22 03:03:00,12.6,554.0,745.2,1
79,女性,158.4,55.4,2023-08-22 16:18:00,7.2,574.5,393.5,1
79,男性,166.0,61.6,2023-08-22 03:46:00,4.9,397.0,527.1,1
56,男性,169.6,63.5,2023-08-22 19:11:00,18.7,755.1,562.3,1
54,女性,155.6,54.2,2023-08-22 11:05:00,13.2,569.1,482.5,1
78,男性,168.5,63.4,2023-08-22 03:05:00,20.0,619.3,735.8,1
65,男性,165.3,61.1,2023-08-22 23:41:00,19.6,663.0,755.0,1
18,女性,160.9,57.1,2023-08-22 02:36:00,16.8,647.5,762.8,1
68,男性,173.9,67.3,2023-08-22 22:21:00,14.4,784.3,549.1,1
29,女性,158.6,56.0,2023-08-22 01:24:00,5.9,546.3,593.0,1
61,男性,165.4,60.7,2023-08-22 07:54:00,20.0,723.0,524.2,1
44,女性,159.7,57.0,2023-08-22 10:53:00,8.2,656.9,447.4,1
73,女性,161.3,57.5,2023-08-22 02:01:00,21.1,558.0,376.1,1
48,男性,174.3,67.3,2023-08-22 04:55:00,18.1,717.6,624.3,1
58,男性,165.6,61.0,2023-08-22 11:35:00,8.3,730.3,599.5,1
80,男性,174.9,67.6,2023-08-22 12:06:00,8.0,672.9,370.7,1
64,女性,163.7,59.9,2023-08-22 12:17:00,4.1,515.9,490.7,1
65,女性,160.6,57.0,2023-08-22 20:51:00,16.0,446.9,346.5,1
73,男性,169.8,64.3,2023-08-22 15:54:00,18.4,595.5,439.2,1
79,女性,158.8,56.2,2023-08-22 11:12:00,8.2,474.2,450.2,1
67,男性,165.9,60.7,2023-08-22 11:06:00,10.6,637.4,507.4,1
18,女性,161.3,58.2,2023-08-22 12:50:00,1.1,470.4,529.7,0
69,男性,169.5,63.5,2023-08-22 03:18:00,14.3,442.2,408.5,1
31,男性,174.1,67.5,2023-08-22 23:55:00,1.5,577.3,573.7,0
36,女性,155.8,53.8,2023-08-22 13:18:00,14.8,529.0,337.8,1
74,男性,173.8,66.5,2023-08-22 01:23:00,14.2,739.5,488.8,1
75,女性,162.1,57.9,2023-08-22 22:39:00,18.1,693.9,483.2,1
60,男性,172.7,65.7,2023-08-22 06:09:00,11.5,541.4,677.7,1
54,女性,163.8,59.5,2023-08-22 10:05:00,12.2,448.0,464.9,1
69,女性,156.9,54.7,2023-08-22 17:18:00,4.4,423.3,645.8,0
80,女性,162.5,58.4,2023-08-22 22:49:00,9.2,605.8,551.2,1
71,女性,163.1,59.1,2023-08-22 17:09:00,7.3,385.5,326.9,1
65,男性,169.2,63.8,2023-08-22 14:18:00,4.2,727.2,627.2,0
57,女性,156.3,54.4,2023-08-22 01:08:00,11.4,504.2,532.6,1
22,男性,171.4,65.6,2023-08-22 03:32:00,6.3,381.0,514.6,1
61,女性,157.6,55.1,2023-08-22 02:52:00,11.8,390.8,575.3,1
36,女性,161.5,57.6,2023-08-22 21:24:00,8.7,484.6,378.2,1
33,女性,160.8,57.2,2023-08-22 20:23:00,19.2,640.0,558.8,1
50,男性,166.1,61.0,2023-08-22 23:31:00,19.6,311.8,421.0,1
45,男性,172.0,65.4,2023-08-22 13:06:00,16.4,785.4,386.3,1
49,男性,169.3,63.1,2023-08-22 01:18:00,11.0,495.8,419.5,1
66,男性,165.9,60.7,2023-08-22 08:03:00,16.6,711.9,646.0,1
19,女性,156.1,54.0,2023-08-22 17:57:00,12.0,781.5,310.1,1
44,女性,163.8,59.9,2023-08-22 19:27:00,10.1,422.4,726.7,1
28,男性,170.8,64.5,2023-08-22 14:56:00,7.1,492.2,577.2,1
46,男性,172.6,66.0,2023-08-22 23:30:00,19.3,786.2,717.8,1
72,女性,156.5,54.0,2023-08-22 10:35:00,7.2,322.4,664.6,1
66,女性,164.4,59.6,2023-08-22 14:49:00,9.9,404.2,575.9,1
69,女性,163.8,59.8,2023-08-22 06:48:00,5.0,794.4,482.0,0
80,男性,173.6,67.1,2023-08-22 21:55:00,8.3,486.0,419.3,1
33,女性,158.9,56.5,2023-08-22 21:28:00,5.1,316.4,582.5,1
71,男性,165.9,60.6,2023-08-22 17:05:00,22.8,467.8,687.2,1
56,男性,174.1,67.6,2023-08-22 12:17:00,5.1,462.3,717.4,1
36,男性,167.2,62.1,2023-08-22 20:50:00,5.2,400.8,446.0,1
41,男性,165.0,60.4,2023-08-22 20:21:00,17.2,432.2,693.7,1
40,男性,165.4,60.4,2023-08-22 06:20:00,20.4,584.7,596.1,1
71,男性,172.2,65.3,2023-08-22 05:36:00,6.0,781.2,758.7,0
33,女性,156.3,54.3,2023-08-22 07:35:00,15.2,673.8,610.6,1
69,男性,174.9,67.5,2023-08-22 06:41:00,2.7,562.8,429.4,0
20,男性,171.1,64.6,2023-08-22 22:20:00,4.5,429.2,623.8,1
49,男性,170.7,64.1,2023-08-22 22:23:00,9.1,389.6,348.7,1
60,女性,159.3,56.7,2023-08-22 21:45:00,16.3,357.8,574.2,1
80,女性,159.9,57.0,2023-08-22 03:07:00,3.1,523.0,345.8,0
32,女性,164.1,59.3,2023-08-22 20:11:00,14.7,777.6,617.7,1
43,女性,159.2,56.1,2023-08-22 03:37:00,14.3,455.3,506.2,1
26,女性,163.3,58.8,2023-08-22 18:45:00,18.5,405.6,529.8,1
37,男性,173.6,67.1,2023-08-22 18:32:00,3.3,795.2,797.1,0
29,女性,161.1,57.9,2023-08-22 16:25:00,8.5,680.0,517.6,1
44,女性,162.5,58.2,2023-08-22 19:41:00,20.1,410.5,769.4,1
79,女性,164.0,59.3,2023-08-22 14:15:00,8.5,746.3,368.2,1
41,女性,157.6,55.2,2023-08-22 15:37:00,1.4,442.1,630.0,0
49,女性,162.9,58.8,2023-08-22 14:10:00,7.9,577.9,393.2,1
26,女性,160.6,57.4,2023-08-22 17:42:00,19.0,448.6,357.7,1
62,男性,174.6,67.9,2023-08-22 19:07:00,17.2,463.8,523.3,1
31,女性,155.4,53.5,2023-08-22 18:16:00,8.3,658.2,504.4,1
22,男性,165.7,60.5,2023-08-22 12:56:00,2.7,675.7,439.7,0
34,女性,161.1,57.7,2023-08-22 10:45:00,17.8,456.0,369.4,1
23,女性,156.2,54.1,2023-08-22 22:47:00,6.4,539.5,779.5,0
56,女性,155.5,54.0,2023-08-22 23:13:00,19.8,314.8,615.5,1
57,男性,168.0,62.4,2023-08-22 08:03:00,2.4,782.6,651.5,0
29,女性,156.8,54.1,2023-08-22 19:16:00,3.0,304.9,368.3,1
79,男性,172.8,66.2,2023-08-22 18:34:00,1.2,501.0,686.7,0
47,男性,165.3,60.5,2023-08-22 08:38:00,20.7,361.4,353.9,1
27,女性,156.3,54.6,2023-08-22 16:17:00,17.8,556.2,435.2,1
23,女性,164.3,60.3,2023-08-22 16:54:00,3.6,726.4,388.7,0
23,男性,168.2,62.8,2023-08-22 21:59:00,12.3,667.5,782.0,1
52,男性,174.7,67.8,2023-08-22 09:44:00,10.3,512.9,739.6,1
75,女性,160.0,56.7,2023-08-22 13:20:00,20.2,679.6,637.3,1
79,女性,157.7,54.8,2023-08-22 09:07:00,13.7,321.9,628.9,1
36,女性,155.6,54.0,2023-08-22 18:20:00,10.0,635.4,535.2,1
30,女性,163.2,59.5,2023-08-22 15:07:00,18.9,555.4,547.2,1
59,男性,169.6,63.9,2023-08-22 11:55:00,10.8,681.5,639.7,1
28,女性,157.3,54.6,2023-08-22 17:14:00,17.6,321.7,663.9,1
25,女性,161.8,58.0,2023-08-22 20:29:00,19.4,594.9,339.6,1
55,男性,166.1,60.7,2023-08-22 01:45:00,8.5,469.4,707.5,1
47,男性,171.8,65.5,2023-08-22 15:51:00,21.4,357.4,593.3,1
47,男性,168.2,62.4,2023-08-22 15:22:00,17.4,321.1,313.3,1
55,男性,171.1,64.5,2023-08-22 15:22:00,1.2,447.3,561.7,0
67,男性,170.9,64.6,2023-08-22 19:41:00,18.5,483.6,403.8,1
80,男性,166.9,61.6,2023-08-22 04:31:00,20.2,651.1,757.6,1
77,女性,162.0,58.3,2023-08-22 03:17:00,16.2,374.8,614.0,1
27,男性,169.4,63.3,2023-08-22 02:41:00,7.1,632.2,309.2,1
72,男性,170.1,64.1,2023-08-22 23:25:00,9.9,782.1,333.0,1
23,男性,174.9,67.6,2023-08-22 10:53:00,4.2,705.0,400.2,1
43,男性,169.0,63.0,2023-08-22 23:51:00,1.5,384.5,535.2,0
22,女性,157.8,55.7,2023-08-22 14:13:00,17.9,322.9,779.3,1
61,男性,169.2,63.3,2023-08-22 06:54:00,10.5,587.7,664.6,1
77,女性,161.1,57.4,2023-08-22 20:50:00,19.2,790.1,399.7,1
18,男性,172.2,66.0,2023-08-22 21:49:00,14.4,496.0,679.1,1
23,男性,173.1,66.4,2023-08-22 22:40:00,22.5,796.2,538.9,1
43,女性,161.6,57.9,2023-08-22 21:44:00,16.3,497.6,630.8,1
59,男性,171.6,64.9,2023-08-22 12:32:00,14.7,668.1,321.4,1
24,男性,171.8,65.2,2023-08-22 01:07:00,10.8,664.4,640.6,1
78,男性,170.3,64.1,2023-08-22 15:22:00,5.4,720.2,347.5,1
42,男性,173.0,66.2,2023-08-22 07:06:00,17.9,465.8,383.5,1
75,女性,157.6,55.2,2023-08-22 20:59:00,6.5,563.1,545.6,1
78,女性,157.0,55.0,2023-08-22 21:04:00,22.5,395.9,354.6,1
